VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
YV4H60DP5R,Thurston,Lacey,WA,98503,2024,VOLVO,XC60,2,1,35,22,257391242,POINT (-122.8285 47.03646),PUGET SOUND ENERGY INC,53067011300
YV1H60EP3N,King,Bellevue,WA,98005,2022,VOLVO,V60,2,1,41,41,199228263,POINT (-122.16085 47.624515),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023401
WMZ23BS02M,King,Seattle,WA,98125,2021,MINI,COUNTRYMAN,2,2,17,46,133792718,POINT (-122.296385 47.71558),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001202
ZASPATCW4R,King,Kirkland,WA,98033,2024,ALFA ROMEO,TONALE,2,1,33,48,258582068,POINT (-122.20264 47.6785),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022604
YV4H60DW2P,King,Redmond,WA,98052,2023,VOLVO,XC60,2,1,35,48,251299632,POINT (-122.12302 47.67668),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022902
ZACPDFCW2R,Yakima,Yakima,WA,98908,2024,DODGE,HORNET,2,1,32,14,257725499,POINT (-120.6027202 46.5965625),PACIFICORP,53077000904
YV4H60LF2R,King,Seattle,WA,98125,2024,VOLVO,XC90,2,1,32,46,259819661,POINT (-122.296385 47.71558),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000700
WP0AH2A71J,Clark,Brush Prairie,WA,98606,2018,PORSCHE,PANAMERA,2,2,14,18,107105750,POINT (-122.5485715 45.7336587),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040603
WP0AD2Y17P,King,Bellevue,WA,98004,2023,PORSCHE,TAYCAN,1,3,0,48,249644895,POINT (-122.201905 47.61385),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024002
KNDCM3LD2M,Clark,Vancouver,WA,98662,2021,KIA,NIRO,2,2,26,17,240118098,POINT (-122.5918493 45.6617058),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040703
KNDJP3AE6F,King,Shoreline,WA,98155,2015,KIA,SOUL,1,1,93,32,211939927,POINT (-122.3175 47.7578146),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033020500
KM8S6DA21P,King,Bellevue,WA,98008,2023,HYUNDAI,SANTA FE,2,1,30,48,240009010,POINT (-122.11832 47.6245),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023000
KNDRMDLH0R,King,Seattle,WA,98125,2024,KIA,SORENTO,2,1,32,46,258971478,POINT (-122.296385 47.71558),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033000900
1N4AZ1BV0R,King,Seattle,WA,98177,2024,NISSAN,LEAF,1,3,0,36,257017484,POINT (-122.382425 47.77279),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001400
WA1LABGE3M,King,Kirkland,WA,98034,2021,AUDI,E-TRON,1,3,0,45,153867423,POINT (-122.209285 47.71124),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021904
WA12AAGE7M,King,Seattle,WA,98119,2021,AUDI,E-TRON SPORTBACK,1,1,218,36,138385957,POINT (-122.363815 47.63046),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005901
7JRBR0FL5K,Clark,Vancouver,WA,98665,2019,VOLVO,S60,2,2,22,49,260765774,POINT (-122.66592 45.678565),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041010
YV4H60DP0N,King,Bellevue,WA,98006,2022,VOLVO,XC60,2,1,35,41,244503640,POINT (-122.16937 47.571015),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024905
5YJSA1V29F,King,Kirkland,WA,98033,2015,TESLA,MODEL S,1,1,208,45,124896278,POINT (-122.20264 47.6785),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022401
5YJXCAE47L,King,Issaquah,WA,98029,2020,TESLA,MODEL X,1,1,289,5,112022900,POINT (-121.9993659 47.5484866),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032220
JT3GS10V32,King,Sammamish,WA,98075,2002,TOYOTA,RAV4,1,1,95,41,175935672,POINT (-122.03309 47.58153),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032207
2C4RC1R79M,King,Kirkland,WA,98034,2021,CHRYSLER,PACIFICA,2,1,32,45,152205336,POINT (-122.209285 47.71124),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022005
50EA1GBA0P,King,Seattle,WA,98177,2023,LUCID,AIR,1,3,0,32,233792506,POINT (-122.382425 47.77279),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000500
WP0AD2Y18N,King,Redmond,WA,98052,2022,PORSCHE,TAYCAN,1,3,0,45,228738051,POINT (-122.12302 47.67668),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032324
WAUCJBFW6P,Kitsap,Bainbridge Island,WA,98110,2023,AUDI,E-TRON GT,1,3,0,23,238998392,POINT (-122.5235781 47.6293323),PUGET SOUND ENERGY INC,53035090700
KMHC65LD0J,King,Bellevue,WA,98007,2018,HYUNDAI,IONIQ,2,2,29,48,258757782,POINT (-122.147385 47.599975),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023201
WDC0G5EB7J,King,Shoreline,WA,98133,2018,MERCEDES-BENZ,GLC-CLASS,2,2,9,32,180723182,POINT (-122.34584 47.76726),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033021000
50EA1DCA8N,King,Seattle,WA,98112,2022,LUCID,AIR,1,3,0,43,201872926,POINT (-122.30764 47.62523),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006300
WBAJB1C01L,King,Seattle,WA,98112,2020,BMW,530E,2,2,18,43,240741273,POINT (-122.30764 47.62523),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006400
1FTBW1XK3N,King,Tukwila,WA,98168,2022,FORD,TRANSIT,1,3,0,11,208006424,POINT (-122.286465 47.476),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027200
YV4BR0CK0N,King,Auburn,WA,98092,2022,VOLVO,XC90,2,2,18,47,176410650,POINT (-122.1820969 47.3198995),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031206
WP0BA2Y1XN,King,Bellevue,WA,98004,2022,PORSCHE,TAYCAN,1,3,0,48,190252541,POINT (-122.201905 47.61385),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024002
1G1RF6E42E,King,Covington,WA,98042,2014,CHEVROLET,VOLT,2,1,38,47,313111480,POINT (-122.111625 47.36078),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031705
KM8KMDDF8R,King,Duvall,WA,98019,2024,HYUNDAI,IONIQ 5,1,3,0,45,259734156,POINT (-121.9810747 47.7377962),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032402
